"지역별(1)","산업별(10차)중분류별(1)",2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022
"지역별(1)","산업별(10차)중분류별(1)",전체기업,중소기업,중소기업,중소기업,중소기업,중소기업,중소기업 외,전체기업,중소기업,중소기업,중소기업,중소기업,중소기업,중소기업 외,전체기업,중소기업,중소기업,중소기업,중소기업,중소기업,중소기업 외,전체기업,중소기업,중소기업,중소기업,중소기업,중소기업,중소기업 외
"지역별(1)","산업별(10차)중분류별(1)",소계,소계,소기업,소기업,소기업,중기업,소계,소계,소계,소기업,소기업,소기업,중기업,소계,소계,소계,소기업,소기업,소기업,중기업,소계,소계,소계,소기업,소기업,소기업,중기업,소계
"지역별(1)","산업별(10차)중분류별(1)",소계,소계,소계,소상공인,소상공인 제외,소계,소계,소계,소계,소계,소상공인,소상공인 제외,소계,소계,소계,소계,소계,소상공인,소상공인 제외,소계,소계,소계,소계,소계,소상공인,소상공인 제외,소계,소계
"부산","G.도매 및 소매업(45~47)",784376,651929,346399,276420,69980,305530,132447,776398,640106,347550,277210,70340,292556,136292,873866,724507,377232,302657,74574,347275,149359,979149,798170,397777,323042,74735,400393,180979
"부산","H.운수 및 창고업(49~52)",165572,113203,74029,58160,15869,39174,52369,170624,115909,75404,57263,18141,40505,54714,206515,136748,84890,66107,18783,51858,69768,245029,161083,93568,76169,17400,67514,83946
"부산","I.숙박 및 음식점업(55~56)",88751,82882,66121,54725,11396,16761,5869,81134,76823,64009,55173,8836,12814,4311,86601,82664,68682,58679,10002,13982,3937,107642,103436,82726,70406,12320,20710,4207
"부산","J.정보통신업(58~63)",13640,11979,7185,3132,4053,4794,1661,16817,14238,8983,3675,5308,5255,2579,18938,16264,10287,4285,6002,5978,2673,22025,19349,11937,4916,7021,7413,2676
"부산","K.금융 및 보험업(64~66)",124331,5765,3412,1976,1437,2352,118566,135514,5983,3643,1953,1691,2340,129531,140946,8001,4053,2469,1584,3947,132945,173864,6628,3721,2200,1520,2907,167237
"부산","L.부동산업(68)",100816,57191,28810,25882,2928,28380,43626,108748,66600,36819,33573,3246,29782,42147,119599,77867,39542,35866,3676,38325,41732,104045,64922,37222,33244,3978,27700,39123
"부산","M.전문, 과학 및 기술 서비스업(70~73)",50005,37435,23430,12216,11214,14005,12570,55537,41074,25664,13250,12413,15410,14463,61028,46194,29025,15359,13666,17169,14834,72803,53704,31559,16982,14577,22145,19099
"부산","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",37871,32193,14231,7345,6886,17962,5678,32432,29615,13613,7219,6394,16002,2817,35391,31794,14965,7768,7197,16828,3598,39974,35614,16597,9098,7499,19016,4361
"부산","P.교육 서비스업(85)",10263,10133,8262,7055,1208,1871,130,9746,9639,7872,6662,1210,1767,107,*,12307,10003,8516,1488,2304,*,*,13371,10914,9459,1456,2457,*
"부산","Q.보건업 및 사회복지 서비스업(86~87)",51204,51204,17905,11703,6201,33299,-,*,50800,17324,11219,6106,33475,*,*,57962,18254,11881,6374,39707,*,*,63225,19286,12746,6539,43939,*
